shipment_id,origin_city,dest_city,mode,carrier,dest_tier,distance_km,weight_kg,delivery_time_days,cost_inr,delayed,ship_date
3,Coimbatore,Nagpur,Rail,Partner-A,Tier-2,462.0,8.74,2.8,691.0,1,2026-06-14
4,Indore,Kochi,Road,InHouse Fleet,Tier-2,735.0,0.58,2.5,677.0,0,2026-02-25
5,Hyderabad,Kochi,Road,InHouse Fleet,Tier-2,702.0,8.8,1.8,995.0,0,2026-03-12
6,Kochi,Hyderabad,Air,InHouse Fleet,Tier-1,522.0,23.74,0.6,2994.0,0,2026-08-19
7,Coimbatore,Kochi,Road,InHouse Fleet,Tier-2,508.0,7.17,1.7,686.0,0,2026-02-24
8,Coimbatore,Indore,Air,InHouse Fleet,Tier-2,656.0,12.86,2.0,2552.0,0,2026-08-05
9,Indore,Coimbatore,Road,Partner-A,Tier-2,404.0,10.35,2.4,742.0,0,2026-07-01
10,Chennai,Bengaluru,Road,InHouse Fleet,Tier-1,476.0,8.57,1.8,720.0,0,2026-01-22
11,Hyderabad,Indore,Road,InHouse Fleet,Tier-2,743.0,10.61,2.5,858.0,0,2026-01-27
12,Indore,Coimbatore,Road,InHouse Fleet,Tier-2,739.0,11.86,2.6,1166.0,0,2026-04-15
13,Hyderabad,Nagpur,Rail,Partner-A,Tier-2,650.0,12.18,2.1,802.0,0,2026-06-24
14,Hyderabad,Kochi,Road,InHouse Fleet,Tier-2,725.0,1.73,2.7,773.0,0,2026-02-07
15,Kochi,Nagpur,Road,Partner-A,Tier-2,939.0,11.06,3.1,1158.0,0,2026-04-22
16,Coimbatore,Kochi,Road,InHouse Fleet,Tier-2,599.0,4.34,1.5,716.0,0,2026-02-08
17,Pune,Bengaluru,Road,Partner-B,Tier-1,375.0,12.48,1.7,806.0,0,2026-05-23
18,Kochi,Chennai,Air,Partner-B,Tier-1,154.0,7.63,1.1,1080.0,0,2026-04-29
19,Kochi,Bengaluru,Road,InHouse Fleet,Tier-1,194.0,1.71,2.0,320.0,1,2026-07-13
20,Hyderabad,Pune,Road,InHouse Fleet,Tier-1,368.0,13.65,1.3,677.0,0,2026-07-08
21,Nagpur,Indore,Rail,InHouse Fleet,Tier-2,849.0,2.77,2.7,710.0,1,2026-03-01
22,Coimbatore,Hyderabad,Road,InHouse Fleet,Tier-1,304.0,4.17,2.0,461.0,0,2026-05-16
24,Kochi,Bengaluru,Road,Partner-B,Tier-1,308.0,15.82,1.6,794.0,0,2026-02-13
25,Pune,Coimbatore,Road,Partner-A,Tier-2,577.0,5.95,1.5,723.0,0,2026-02-12
26,Nagpur,Chennai,Road,Partner-B,Tier-1,254.0,4.02,2.2,465.0,0,2026-05-14
27,Nagpur,Indore,Air,InHouse Fleet,Tier-2,703.0,5.03,2.0,2111.0,1,2026-07-31
28,Chennai,Kochi,Rail,InHouse Fleet,Tier-2,380.0,3.95,1.9,421.0,0,2026-06-04
29,Kochi,Chennai,Road,Partner-A,Tier-1,581.0,9.41,2.3,832.0,0,2026-06-22
30,Pune,Kochi,Road,InHouse Fleet,Tier-2,530.0,4.05,1.4,567.0,0,2026-01-23
31,Coimbatore,Indore,Road,Partner-A,Tier-2,780.0,5.16,3.2,908.0,0,2026-08-28
33,Pune,Indore,Road,InHouse Fleet,Tier-2,421.0,8.1,2.8,626.0,0,2026-08-20
35,Nagpur,Coimbatore,Road,InHouse Fleet,Tier-2,770.0,7.47,2.0,1045.0,0,2026-07-28
36,Coimbatore,Nagpur,Road,Partner-B,Tier-2,771.0,2.97,3.5,824.0,0,2026-05-02
37,Pune,Chennai,Road,Partner-B,Tier-1,419.0,9.49,2.6,715.0,0,2026-05-21
38,Bengaluru,Indore,Road,Partner-A,Tier-2,471.0,3.47,1.4,517.0,0,2026-07-15
39,Bengaluru,Nagpur,Road,Partner-A,Tier-2,695.0,2.12,2.3,773.0,0,2026-03-25
40,Hyderabad,Indore,Road,Partner-A,Tier-2,437.0,0.88,1.2,470.0,0,2026-04-16
41,Hyderabad,Coimbatore,Air,Partner-B,Tier-2,605.0,4.63,1.4,1878.0,0,2026-03-05
43,Chennai,Bengaluru,Road,InHouse Fleet,Tier-1,535.0,1.11,2.5,759.0,0,2026-06-02
44,Kochi,Hyderabad,Road,Partner-A,Tier-1,493.0,2.62,1.3,568.0,0,2026-05-05
45,Pune,Kochi,Air,InHouse Fleet,Tier-2,653.0,5.27,1.7,2066.0,0,2026-08-02
46,Pune,Kochi,Air,InHouse Fleet,Tier-2,475.0,11.68,1.8,2133.0,0,2026-02-21
47,Kochi,Chennai,Road,InHouse Fleet,Tier-1,466.0,4.26,2.4,560.0,0,2026-02-17
48,Indore,Hyderabad,Road,Partner-A,Tier-1,353.0,1.38,2.1,456.0,0,2026-03-02
49,Nagpur,Indore,Road,Partner-B,Tier-2,232.0,4.9,0.8,442.0,0,2026-01-17
50,Nagpur,Coimbatore,Road,InHouse Fleet,Tier-2,791.0,11.37,2.7,1091.0,0,2026-02-09
51,Indore,Chennai,Road,Partner-B,Tier-1,346.0,4.18,2.0,634.0,0,2026-03-16
52,Nagpur,Indore,Road,Partner-A,Tier-2,866.0,13.05,3.8,1137.0,0,2026-03-30
53,Hyderabad,Nagpur,Road,Partner-B,Tier-2,453.0,5.24,2.0,711.0,0,2026-03-10
56,Pune,Hyderabad,Road,InHouse Fleet,Tier-1,40.0,8.82,1.3,365.0,0,2026-03-26
57,Kochi,Chennai,Road,Partner-B,Tier-1,400.0,6.29,1.3,652.0,0,2026-01-26
58,Bengaluru,Hyderabad,Road,InHouse Fleet,Tier-1,402.0,12.63,1.2,778.0,0,2026-07-27
59,Hyderabad,Chennai,Road,Partner-B,Tier-1,46.0,19.99,0.5,734.0,0,2026-07-03
60,Coimbatore,Indore,Road,Partner-B,Tier-2,474.0,3.62,1.8,578.0,0,2026-02-09
61,Hyderabad,Bengaluru,Road,InHouse Fleet,Tier-1,846.0,6.02,4.1,1022.0,1,2026-08-01
62,Indore,Nagpur,Road,InHouse Fleet,Tier-2,595.0,11.68,2.1,986.0,0,2026-08-28
63,Coimbatore,Indore,Air,Partner-A,Tier-2,782.0,6.45,1.8,2424.0,0,2026-04-06
64,Bengaluru,Kochi,Road,InHouse Fleet,Tier-2,533.0,0.83,2.5,640.0,0,2026-07-15
65,Indore,Hyderabad,Road,Partner-B,Tier-1,40.0,4.23,0.5,221.0,0,2026-08-18
66,Chennai,Pune,Air,InHouse Fleet,Tier-1,319.0,6.41,1.0,1297.0,0,2026-04-27
